Mot,EchelonDB,Nature,Categorie,Classe,Niveau
vigueur,22,nom feminin,nom,CM2,5
voiler,22,verbe 1er groupe,verbe,CM2,5
vraiment,22,adverbe,autres,CM2,5
abattre,23,verbe 3eme groupe,verbe,CM2,5
absent,23,adjectif qualificatif,adjectif,CM2,5
absolu,23,adjectif qualificatif,adjectif,CM2,5
acclamer,23,verbe 1er groupe,verbe,CM2,5
accord,23,nom masculin,nom,CM2,5
accuser,23,verbe 1er groupe,verbe,CM2,5
acier,23,nom masculin,nom,CM2,5
adopter,23,verbe 1er groupe,verbe,CM2,5
adresser,23,verbe 1er groupe,verbe,CM2,5
aérer,23,verbe 1er groupe,verbe,CM2,5
affectueux,23,adjectif qualificatif,adjectif,CM2,5
allure,23,nom feminin,nom,CM2,5
framboise,23,nom feminin,nom,CM2,5
animer,23,verbe 1er groupe,verbe,CM2,5
apporter,23,verbe 1er groupe,verbe,CM2,5
après-midi,23,nom masculin,nom,CM2,5
arrêt,23,nom masculin,nom,CM2,5
quartier,23,nom masculin,nom,CM2,5
assidu,23,adjectif qualificatif,adjectif,CM2,5
assister,23,verbe 1er groupe,verbe,CM2,5
pièce,23,nom feminin,nom,CM2,5
automne,23,nom masculin,nom,CM2,5
azuré,23,adjectif qualificatif,adjectif,CM2,5
baisser,23,verbe 1er groupe,verbe,CM2,5
barrière,23,nom feminin,nom,CM2,5
betterave,23,nom feminin,nom,CM2,5
bière,23,nom feminin,nom,CM2,5
boueux,23,adjectif qualificatif,adjectif,CM2,5
brindille,23,nom feminin,nom,CM2,5
brouillard,23,nom masculin,nom,CM2,5
brut,23,adjectif qualificatif,adjectif,CM2,5
carreau,23,nom masculin,nom,CM2,5
cendre,23,nom feminin,nom,CM2,5
cerf,23,nom masculin,nom,CM2,5
certain,23,adjectif qualificatif,adjectif,CM2,5
cesser,23,verbe 1er groupe,verbe,CM2,5
circuler,23,verbe 1er groupe,verbe,CM2,5
colonial,23,adjectif qualificatif,adjectif,CM2,5
comparaison,23,nom feminin,nom,CM2,5
complètement,23,adverbe,autres,CM2,5
composer,23,verbe 1er groupe,verbe,CM2,5
constant,23,adjectif qualificatif,adjectif,CM2,5
continuel,23,adjectif qualificatif,adjectif,CM2,5
couloir,23,nom masculin,nom,CM2,5
corps,23,nom masculin,nom,CM2,5
saucisson,23,nom masculin,nom,CM2,5
course,23,nom masculin,nom,CM2,5
craquer,23,verbe 1er groupe,verbe,CM2,5
déjà,23,adverbe,autres,CM2,5
désirer,23,verbe 1er groupe,verbe,CM2,5
destiner,23,verbe 1er groupe,verbe,CM2,5
dictionnaire,23,nom masculin,nom,CM2,5
divers,23,adjectif qualificatif,adjectif,CM2,5
dompteur,23,nom masculin,nom,CM2,5
écarter,23,verbe 1er groupe,verbe,CM2,5
éclaircir,23,verbe 2eme groupe,verbe,CM2,5
éclairer,23,verbe 1er groupe,verbe,CM2,5
édifier,23,verbe 1er groupe,verbe,CM2,5
glaçon,23,nom masculin,nom,CM2,5
élancer,23,verbe 1er groupe,verbe,CM2,5
château,23,nom masculin,nom,CM2,5
enchanté,23,adjectif qualificatif,adjectif,CM2,5
ennemi,23,nom masculin,nom,CM2,5
carrosse,23,nom masculin,nom,CM2,5
enveloppe,23,nom feminin,nom,CM2,5
envoyer,23,verbe 1er groupe,verbe,CM2,5
espérer,23,verbe 1er groupe,verbe,CM2,5
étirer,23,verbe 1er groupe,verbe,CM2,5
ciseaux,23,nom masculin,nom,CM2,5
colle,23,nom feminin,nom,CM2,5
exposer,23,verbe 1er groupe,verbe,CM2,5
exprès,23,adverbe,autres,CM2,5
extraire,23,verbe 3eme groupe,verbe,CM2,5
sabre,23,nom masculin,nom,CM2,5
falloir,23,verbe 3eme groupe,verbe,CM2,5
fauteuil,23,nom masculin,nom,CM2,5
féroce,23,adjectif qualificatif,adjectif,CM2,5
fièrement,23,adverbe,autres,CM2,5
fixer,23,verbe 1er groupe,verbe,CM2,5
flamand,23,adjectif qualificatif,adjectif,CM2,5
flèche,23,nom feminin,nom,CM2,5
fourmi,23,nom feminin,nom,CM2,5
fraîcheur,23,nom feminin,nom,CM2,5
frayeur,23,nom feminin,nom,CM2,5
froisser,23,verbe 1er groupe,verbe,CM2,5
frotter,23,verbe 1er groupe,verbe,CM2,5
gâteau,23,nom masculin,nom,CM2,5
gémir,23,verbe 2eme groupe,verbe,CM2,5
givre,23,nom masculin,nom,CM2,5
gourmand,23,adjectif qualificatif,adjectif,CM2,5
goût,23,nom masculin,nom,CM2,5
graisse,23,nom feminin,nom,CM2,5
grimper,23,verbe 1er groupe,verbe,CM2,5
grossier,23,adjectif qualificatif,adjectif,CM2,5
guérir,23,verbe 2eme groupe,verbe,CM2,5
habiter,23,verbe 1er groupe,verbe,CM2,5
habitude,23,nom feminin,nom,CM2,5
village,23,nom masculin,nom,CM2,5
honorable,23,adjectif qualificatif,adjectif,CM2,5
ignorant,23,adjectif qualificatif,adjectif,CM2,5
illustrer,23,verbe 1er groupe,verbe,CM2,5
imaginer,23,verbe 1er groupe,verbe,CM2,5
immédiatement,23,adverbe,autres,CM2,5
règle,23,nom feminin,nom,CM2,5
imposant,23,adjectif qualificatif,adjectif,CM2,5
imprévu,23,adjectif qualificatif,adjectif,CM2,5
leçon,23,nom feminin,nom,CM2,5
ingrat,23,adjectif qualificatif,adjectif,CM2,5
interroger,23,verbe 1er groupe,verbe,CM2,5
laborieux,23,adjectif qualificatif,adjectif,CM2,5
laid,23,adjectif qualificatif,adjectif,CM2,5
carrelage,23,nom masculin,nom,CM2,5
langage,23,nom masculin,nom,CM2,5
limpide,23,adjectif qualificatif,adjectif,CM2,5
lors,23,adverbe,autres,CM2,5
loyal,23,adjectif qualificatif,adjectif,CM2,5
lumineux,23,adjectif qualificatif,adjectif,CM2,5
bague,23,nom feminin,nom,CM2,5
manoeuvrer,23,verbe 1er groupe,verbe,CM2,5
marguerite,23,nom feminin,nom,CM2,5
matériel,23,nom masculin,nom,CM2,5
mendier,23,verbe 1er groupe,verbe,CM2,5
merveilleux,23,adjectif qualificatif,adjectif,CM2,5
mesurer,23,verbe 1er groupe,verbe,CM2,5
millier,23,nom masculin,nom,CM2,5
million,23,nom masculin,nom,CM2,5
miroir,23,nom masculin,nom,CM2,5
moitié,23,nom feminin,nom,CM2,5
mystérieux,23,adjectif qualificatif,adjectif,CM2,5
naturel,23,adjectif qualificatif,adjectif,CM2,5
négliger,23,verbe 1er groupe,verbe,CM2,5
rat,23,nom masculin,nom,CM2,5
observer,23,verbe 1er groupe,verbe,CM2,5
marmotte,23,nom feminin,nom,CM2,5
occuper,23,verbe 1er groupe,verbe,CM2,5
ordonner,23,verbe 1er groupe,verbe,CM2,5
pâlir,23,verbe 2eme groupe,verbe,CM2,5
lunettes,23,nom masculin,nom,CM2,5
parfumer,23,verbe 1er groupe,verbe,CM2,5
ferme,23,nom feminin,nom,CM2,5
paysan,23,nom masculin,nom,CM2,5
pénétrer,23,verbe 1er groupe,verbe,CM2,5
donjon,23,nom masculin,nom,CM2,5
permission,23,nom feminin,nom,CM2,5
persuader,23,verbe 1er groupe,verbe,CM2,5
peu,23,adverbe,autres,CM2,5
pin,23,nom masculin,nom,CM2,5
ses,23,adjectif indefini,determinant,CM2,5
prêcher,23,verbe 1er groupe,verbe,CM2,5
près,23,adverbe,autres,CM2,5
professeur,23,nom masculin,nom,CM2,5
profond,23,adjectif qualificatif,adjectif,CM2,5
quoique,23,conjonction,autres,CM2,5
ravissant,23,adjectif qualificatif,adjectif,CM2,5
rejeter,23,verbe 1er groupe,verbe,CM2,5
relever,23,verbe 1er groupe,verbe,CM2,5
remerciement,23,nom masculin,nom,CM2,5
remporter,23,verbe 1er groupe,verbe,CM2,5
renouveler,23,verbe 1er groupe,verbe,CM2,5
repasser,23,verbe 1er groupe,verbe,CM2,5
reposer,23,verbe 1er groupe,verbe,CM2,5
réserver,23,verbe 1er groupe,verbe,CM2,5
force,23,nom feminin,nom,CM2,5
résultat,23,nom masculin,nom,CM2,5
réveil,23,nom masculin,nom,CM2,5
rhume,23,nom masculin,nom,CM2,5
ronce,23,nom feminin,nom,CM2,5
rusé,23,adjectif qualificatif,adjectif,CM2,5
s'agenouiller,23,verbe 1er groupe,verbe,CM2,5
saisir,23,verbe 2eme groupe,verbe,CM2,5
salut,23,nom masculin,nom,CM2,5
sautiller,23,verbe 1er groupe,verbe,CM2,5
sécurité,23,nom feminin,nom,CM2,5
seize,23,adjectif numeral,determinant,CM2,5
sensible,23,adjectif qualificatif,adjectif,CM2,5
séparer,23,verbe 1er groupe,verbe,CM2,5
serrer,23,verbe 1er groupe,verbe,CM2,5
trou,23,nom masculin,nom,CM2,5
sirène,23,nom feminin,nom,CM2,5
mouette,23,nom feminin,nom,CM2,5
souffle,23,nom masculin,nom,CM2,5
chouette,23,nom feminin,nom,CM2,5
stationner,23,verbe 1er groupe,verbe,CM2,5
tantôt,23,adverbe,autres,CM2,5
taquiner,23,verbe 1er groupe,verbe,CM2,5
tinter,23,verbe 1er groupe,verbe,CM2,5
tiroir,23,nom masculin,nom,CM2,5
placard,23,nom masculin,nom,CM2,5
renard,23,nom masculin,nom,CM2,5
treize,23,adjectif numeral,determinant,CM2,5
boeuf,23,nom masculin,nom,CM2,5
tronc,23,nom masculin,nom,CM2,5
véhicule,23,nom masculin,nom,CM2,5
vêtement,23,nom masculin,nom,CM2,5
viser,23,verbe 1er groupe,verbe,CM2,5
rue,23,nom feminin,nom,CM2,5
abeille,24,nom masculin,nom,College,6
frelon,24,nom masculin,nom,College,6
mouche,24,nom feminin,nom,College,6
accompagner,24,verbe 1er groupe,verbe,College,6
accomplir,24,verbe 2eme groupe,verbe,College,6
accourir,24,verbe 3eme groupe,verbe,College,6
agiter,24,verbe 1er groupe,verbe,College,6
agréer,24,verbe 1er groupe,verbe,College,6
ainsi,24,adverbe,autres,College,6
aisément,24,adverbe,autres,College,6
alcool,24,nom masculin,nom,College,6
drap,24,nom masculin,nom,College,6
amende,24,nom feminin,nom,College,6
amer,24,adjectif qualificatif,adjectif,College,6
anneau,24,nom masculin,nom,College,6
appétit,24,nom masculin,nom,College,6
assiette,24,nom feminin,nom,College,6
atteindre,24,verbe 3eme groupe,verbe,College,6
attente,24,nom feminin,nom,College,6
augmenter,24,verbe 1er groupe,verbe,College,6
aventurer,24,verbe 1er groupe,verbe,College,6
barreau,24,nom masculin,nom,College,6
basse-cour,24,nom feminin,nom,College,6
bateau,24,nom masculin,nom,College,6
bercer,24,verbe 1er groupe,verbe,College,6
bouleau,24,nom masculin,nom,College,6
boulevard,24,nom masculin,nom,College,6
taille-crayon,24,nom masculin,nom,College,6
bousculer,24,verbe 1er groupe,verbe,College,6
brillant,24,adjectif qualificatif,adjectif,College,6
briller,24,verbe 1er groupe,verbe,College,6
papier,24,nom masculin,nom,College,6
catastrophe,24,nom feminin,nom,College,6
célèbre,24,adjectif qualificatif,adjectif,College,6
cependant,24,adverbe,autres,College,6
baguette,24,nom feminin,nom,College,6
chariot,24,nom masculin,nom,College,6
charrue,24,nom feminin,nom,College,6
chaussure,24,nom feminin,nom,College,6
chrétien,24,adjectif qualificatif,adjectif,College,6
chaussette,24,nom feminin,nom,College,6
cirer,24,verbe 1er groupe,verbe,College,6
communal,24,adjectif qualificatif,adjectif,College,6
collier,24,nom masculin,nom,College,6
écharpe,24,nom feminin,nom,College,6
tomate,24,nom feminin,nom,College,6
connaître,24,verbe 3eme groupe,verbe,College,6
conseiller,24,verbe 1er groupe,verbe,College,6
bouteille,24,nom masculin,nom,College,6
crêpe,24,nom feminin,nom,College,6
croiser,24,verbe 1er groupe,verbe,College,6
croître,24,verbe 3eme groupe,verbe,College,6
croquer,24,verbe 1er groupe,verbe,College,6
cruel,24,adjectif qualificatif,adjectif,College,6
d'abord,24,adverbe,autres,College,6
défiler,24,verbe 1er groupe,verbe,College,6
dépasser,24,verbe 1er groupe,verbe,College,6
déployer,24,verbe 1er groupe,verbe,College,6
dérouler,24,verbe 1er groupe,verbe,College,6
désert,24,adjectif qualificatif,adjectif,College,6
soleil,24,nom masculin,nom,College,6
dicter,24,verbe 1er groupe,verbe,College,6
distinguer,24,verbe 1er groupe,verbe,College,6
dorer,24,verbe 1er groupe,verbe,College,6
dortoir,24,nom masculin,nom,College,6
ébranler,24,verbe 1er groupe,verbe,College,6
écraser,24,verbe 1er groupe,verbe,College,6
écrivain,24,nom masculin,nom,College,6
élan,24,nom masculin,nom,College,6
four,24,nom masculin,nom,College,6
entasser,24,verbe 1er groupe,verbe,College,6
hibou,24,nom masculin,nom,College,6
entourer,24,verbe 1er groupe,verbe,College,6
ériger,24,verbe 1er groupe,verbe,College,6
espiègle,24,adjectif qualificatif,adjectif,College,6
gymnase,24,nom masculin,nom,College,6
dentiste,24,nom masculin,nom,College,6
examiner,24,verbe 1er groupe,verbe,College,6
exécuter,24,verbe 1er groupe,verbe,College,6
luntin,24,nom masculin,nom,College,6
exercice,24,nom masculin,nom,College,6
exister,24,verbe 1er groupe,verbe,College,6
façade,24,nom feminin,nom,College,6
filer,24,verbe 1er groupe,verbe,College,6
flamber,24,verbe 1er groupe,verbe,College,6
fleurir,24,verbe 2eme groupe,verbe,College,6
français,24,adjectif qualificatif,adjectif,College,6
frêle,24,adjectif qualificatif,adjectif,College,6
fréquent,24,adjectif qualificatif,adjectif,College,6
pastèque,24,nom feminin,nom,College,6
gonfler,24,verbe 1er groupe,verbe,College,6
grand-père,24,nom masculin,nom,College,6
guêpe,24,nom feminin,nom,College,6
habituel,24,adjectif qualificatif,adjectif,College,6
melon,24,nom masculin,nom,College,6
boisson,24,nom feminin,nom,College,6
directrice,24,nom feminin,nom,College,6
immaculé,24,adjectif qualificatif,adjectif,College,6
importer,24,verbe 1er groupe,verbe,College,6
fenêtre,24,nom feminin,nom,College,6
mur,24,nom masculin,nom,College,6
innocent,24,adjectif qualificatif,adjectif,College,6
insister,24,verbe 1er groupe,verbe,College,6
intellectuel,24,adjectif qualificatif,adjectif,College,6
intrigué,24,adjectif qualificatif,adjectif,College,6
kilogramme,24,nom masculin,nom,College,6
lancer,24,verbe 1er groupe,verbe,College,6
majestueux,24,adjectif qualificatif,adjectif,College,6
toit,24,nom masculin,nom,College,6
meuble,24,nom masculin,nom,College,6
mouiller,24,verbe 1er groupe,verbe,College,6
mûr,24,adjectif qualificatif,adjectif,College,6
mûrir,24,verbe 2eme groupe,verbe,College,6
naufrage,24,nom masculin,nom,College,6
nègre,24,adjectif qualificatif,adjectif,College,6
neveu,24,nom masculin,nom,College,6
obscur,24,adjectif qualificatif,adjectif,College,6
couverture,24,nom feminin,nom,College,6
oeil,24,nom masculin,nom,College,6
oh,24,interjection,autres,College,6
opération,24,nom feminin,nom,College,6
raquette,24,nom feminin,nom,College,6
paisiblement,24,adverbe,autres,College,6
lapin,24,nom masculin,nom,College,6
paresseux,24,adjectif qualificatif,adjectif,College,6
parsemer,24,verbe 1er groupe,verbe,College,6
passager,24,nom masculin,nom,College,6
pile,24,nom feminin,nom,College,6
penser,24,verbe 1er groupe,verbe,College,6
ampoule,24,nom feminin,nom,College,6
perpétuel,24,adjectif qualificatif,adjectif,College,6
perroquet,24,nom masculin,nom,College,6
peut-être,24,adverbe,autres,College,6
photographie,24,nom feminin,nom,College,6
phrase,24,nom feminin,nom,College,6
pis,24,adverbe,autres,College,6
plafond,24,nom masculin,nom,College,6
plume,24,nom feminin,nom,College,6
posséder,24,verbe 1er groupe,verbe,College,6
poulain,24,nom masculin,nom,College,6
préférer,24,verbe 1er groupe,verbe,College,6
profession,24,nom feminin,nom,College,6
progrès,24,nom masculin,nom,College,6
promettre,24,verbe 3eme groupe,verbe,College,6
propice,24,adjectif qualificatif,adjectif,College,6
patte,24,nom feminin,nom,College,6
public,24,adjectif qualificatif,adjectif,College,6
queue,24,nom feminin,nom,College,6
rapprocher,24,verbe 1er groupe,verbe,College,6
rassembler,24,verbe 1er groupe,verbe,College,6
réciter,24,verbe 1er groupe,verbe,College,6
recommencer,24,verbe 1er groupe,verbe,College,6
reconnaître,24,verbe 3eme groupe,verbe,College,6
réel,24,adjectif qualificatif,adjectif,College,6
regretter,24,verbe 1er groupe,verbe,College,6
renfermer,24,verbe 1er groupe,verbe,College,6
renvoyer,24,verbe 1er groupe,verbe,College,6
repousser,24,verbe 1er groupe,verbe,College,6
résigner,24,verbe 1er groupe,verbe,College,6
réussir,24,verbe 2eme groupe,verbe,College,6
rêver,24,verbe 1er groupe,verbe,College,6
ronronner,24,verbe 1er groupe,verbe,College,6
rôti,24,nom masculin,nom,College,6
fleuve,24,nom masculin,nom,College,6
s'absenter,24,verbe 1er groupe,verbe,College,6
sauf,24,preposition,autres,College,6
sécher,24,verbe 1er groupe,verbe,College,6
s'écrouler,24,verbe 1er groupe,verbe,College,6
s'éloigner,24,verbe 1er groupe,verbe,College,6
sévère,24,adjectif qualificatif,adjectif,College,6
sifflement,24,nom masculin,nom,College,6
siffler,24,verbe 1er groupe,verbe,College,6
sifflet,24,nom masculin,nom,College,6
goutte,24,nom feminin,nom,College,6
boîte,24,nom feminin,nom,College,6
soigneux,24,adjectif qualificatif,adjectif,College,6
sommeil,24,nom masculin,nom,College,6
souci,24,nom masculin,nom,College,6
spécial,24,adjectif qualificatif,adjectif,College,6
tacheter,24,verbe 1er groupe,verbe,College,6
messager,24,nom masculin,nom,College,6
téléphoner,24,verbe 1er groupe,verbe,College,6
témoignage,24,nom masculin,nom,College,6
terrasse,24,nom feminin,nom,College,6
torrent,24,nom masculin,nom,College,6
traîneau,24,nom masculin,nom,College,6
transmettre,24,verbe 3eme groupe,verbe,College,6
cadeau,24,nom masculin,nom,College,6
vagabond,24,adjectif qualificatif,adjectif,College,6
vainqueur,24,nom masculin,nom,College,6
vêtir,24,verbe 3eme groupe,verbe,College,6
vieillard,24,nom masculin,nom,College,6
villageois,24,nom masculin,nom,College,6
voilà,24,preposition,autres,College,6
volaille,24,nom feminin,nom,College,6
TRUE,24,adjectif qualificatif,adjectif,College,6
abandonner,25,verbe 1er groupe,verbe,College,6
aboyer,25,verbe 1er groupe,verbe,College,6
marteau,25,nom masculin,nom,College,6
admettre,25,verbe 3eme groupe,verbe,College,6
affectueusement,25,adverbe,autres,College,6
affliger,25,verbe 1er groupe,verbe,College,6
ah,25,interjection,autres,College,6
allemand,25,adjectif qualificatif,adjectif,College,6
anniversaire,25,nom masculin,nom,College,6
annuel,25,adjectif qualificatif,adjectif,College,6
appliquer,25,verbe 1er groupe,verbe,College,6
approuver,25,verbe 1er groupe,verbe,College,6
argenter,25,verbe 1er groupe,verbe,College,6
arrondir,25,verbe 2eme groupe,verbe,College,6
attacher,25,verbe 1er groupe,verbe,College,6
attraper,25,verbe 1er groupe,verbe,College,6
bisou,25,nom masculin,nom,College,6
bicyclette,25,nom feminin,nom,College,6
bienfaisant,25,adjectif qualificatif,adjectif,College,6
bourdonner,25,verbe 1er groupe,verbe,College,6
bourgeonner,25,verbe 1er groupe,verbe,College,6
campagnard,25,nom masculin,nom,College,6
canoë,25,nom masculin,nom,College,6
caresse,25,nom feminin,nom,College,6
céder,25,verbe 1er groupe,verbe,College,6
ceinture,25,nom feminin,nom,College,6
charrette,25,nom feminin,nom,College,6
chevet,25,nom masculin,nom,College,6
clos,25,adjectif qualificatif,adjectif,College,6
coller,25,verbe 1er groupe,verbe,College,6
combattre,25,verbe 3eme groupe,verbe,College,6
commandant,25,nom masculin,nom,College,6
commerçant,25,nom masculin,nom,College,6
commercial,25,adjectif qualificatif,adjectif,College,6
compléter,25,verbe 1er groupe,verbe,College,6
concert,25,nom masculin,nom,College,6
conquérir,25,verbe 3eme groupe,verbe,College,6
consentir,25,verbe 3eme groupe,verbe,College,6
considérer,25,verbe 1er groupe,verbe,College,6
conter,25,verbe 1er groupe,verbe,College,6
convaincre,25,verbe 3eme groupe,verbe,College,6
coquelicot,25,nom masculin,nom,College,6
fleur,25,nom feminin,nom,College,6
créer,25,verbe 1er groupe,verbe,College,6
darder,25,verbe 1er groupe,verbe,College,6
démontrer,25,verbe 1er groupe,verbe,College,6
derrière,25,preposition,autres,College,6
désaltérer,25,verbe 1er groupe,verbe,College,6
diamant,25,nom masculin,nom,College,6
différence,25,nom feminin,nom,College,6
difficile,25,adjectif qualificatif,adjectif,College,6
disparaître,25,verbe 3eme groupe,verbe,College,6
distance,25,nom feminin,nom,College,6
domaine,25,nom masculin,nom,College,6
kayak,25,nom masculin,nom,College,6
don,25,nom masculin,nom,College,6
judo,25,nom masculin,nom,College,6
dresser,25,verbe 1er groupe,verbe,College,6
échec,25,nom masculin,nom,College,6
éclabousser,25,verbe 1er groupe,verbe,College,6
effectuer,25,verbe 1er groupe,verbe,College,6
effrayer,25,verbe 1er groupe,verbe,College,6
égal,25,adjectif qualificatif,adjectif,College,6
ski,25,nom masculin,nom,College,6
embarquer,25,verbe 1er groupe,verbe,College,6
employé,25,nom masculin,nom,College,6
employer,25,verbe 1er groupe,verbe,College,6
entretien,25,nom masculin,nom,College,6
épargner,25,verbe 1er groupe,verbe,College,6
espèce,25,nom feminin,nom,College,6
éteindre,25,verbe 3eme groupe,verbe,College,6
bouteille,25,nom feminin,nom,College,6
cheveux,25,nom masculin,nom,College,6
tête,25,nom feminin,nom,College,6
ceinture,25,nom feminin,nom,College,6
culotte,25,nom feminin,nom,College,6
fervent,25,adjectif qualificatif,adjectif,College,6
magasin,25,nom masculin,nom,College,6
clou,25,nom masculin,nom,College,6
flatter,25,verbe 1er groupe,verbe,College,6
frissonner,25,verbe 1er groupe,verbe,College,6
gai,25,adjectif qualificatif,adjectif,College,6
gâter,25,verbe 1er groupe,verbe,College,6
salade,25,nom feminin,nom,College,6
gentiment,25,adverbe,autres,College,6
goutte,25,nom feminin,nom,College,6
grouper,25,verbe 1er groupe,verbe,College,6
nuage,25,nom masculin,nom,College,6
guider,25,verbe 1er groupe,verbe,College,6
habitant,25,nom masculin,nom,College,6
hardi,25,adjectif qualificatif,adjectif,College,6
hasard,25,nom masculin,nom,College,6
hâter,25,verbe 1er groupe,verbe,College,6
honnête,25,adjectif qualificatif,adjectif,College,6
horizon,25,nom masculin,nom,College,6
hors,25,preposition,autres,College,6
hôtel,25,nom masculin,nom,College,6
impatient,25,adjectif qualificatif,adjectif,College,6
impossible,25,adjectif qualificatif,adjectif,College,6
bouton,25,nom masculin,nom,College,6
poche,25,nom feminin,nom,College,6
jaillir,25,verbe 2eme groupe,verbe,College,6
main,25,nom feminin,nom,College,6
lasser,25,verbe 1er groupe,verbe,College,6
épaule,25,nom feminin,nom,College,6
maîtresse,25,nom feminin,nom,College,6
bouche,25,nom feminin,nom,College,6
genou,25,nom masculin,nom,College,6
maudire,25,verbe 3eme groupe,verbe,College,6
menacer,25,verbe 1er groupe,verbe,College,6
oeil,25,nom masculin,nom,College,6
coussin,25,nom masculin,nom,College,6
cousin,25,nom masculin,nom,College,6
moins,25,adverbe,autres,College,6
voisin,25,nom masculin,nom,College,6
père,25,nom masculin,nom,College,6
national,25,adjectif qualificatif,adjectif,College,6
nerveux,25,adjectif qualificatif,adjectif,College,6
nettoyer,25,verbe 1er groupe,verbe,College,6
nourrir,25,verbe 2eme groupe,verbe,College,6
mère,25,nom feminin,nom,College,6
pareil,25,adjectif qualificatif,adjectif,College,6
parrain,25,nom masculin,nom,College,6
paternel,25,adjectif qualificatif,adjectif,College,6
pâtisserie,25,nom feminin,nom,College,6
pécher,25,verbe 1er groupe,verbe,College,6
grand-père,25,nom masculin,nom,College,6
pourvu que,25,conjonction,autres,College,6
grand-mère,25,nom feminin,nom,College,6
prêter,25,verbe 1er groupe,verbe,College,6
prodiguer,25,verbe 1er groupe,verbe,College,6
doigt,25,nom masculin,nom,College,6
caravane,25,nom feminin,nom,College,6
volet,25,nom masculin,nom,College,6
quelquefois,25,adverbe,autres,College,6
ramasser,25,verbe 1er groupe,verbe,College,6
agenda,25,nom masculin,nom,College,6
rater,25,verbe 1er groupe,verbe,College,6
rayonner,25,verbe 1er groupe,verbe,College,6
réchauffer,25,verbe 1er groupe,verbe,College,6
poème,25,nom masculin,nom,College,6
redescendre,25,verbe 3eme groupe,verbe,College,6
refléter,25,verbe 1er groupe,verbe,College,6
renseigner,25,verbe 1er groupe,verbe,College,6
ressentir,25,verbe 3eme groupe,verbe,College,6
réveiller,25,verbe 1er groupe,verbe,College,6
révéler,25,verbe 1er groupe,verbe,College,6
rouiller,25,verbe 1er groupe,verbe,College,6
ruisseler,25,verbe 1er groupe,verbe,College,6
science,25,nom feminin,nom,College,6
scier,25,verbe 1er groupe,verbe,College,6
s'emparer,25,verbe 1er groupe,verbe,College,6
but,25,nom masculin,nom,College,6
souffler,25,verbe 1er groupe,verbe,College,6
splendide,25,adjectif qualificatif,adjectif,College,6
poisson,25,nom masculin,nom,College,6
supporter,25,verbe 1er groupe,verbe,College,6
tellement,25,adverbe,autres,College,6
méduse,25,nom feminin,nom,College,6
tenter,25,verbe 1er groupe,verbe,College,6
tissu,25,nom masculin,nom,College,6
touffu,25,adjectif qualificatif,adjectif,College,6
tourmenter,25,verbe 1er groupe,verbe,College,6
tournoyer,25,verbe 1er groupe,verbe,College,6
trait,25,nom masculin,nom,College,6
transparent,25,adjectif qualificatif,adjectif,College,6
trotter,25,verbe 1er groupe,verbe,College,6
tuyau,25,nom masculin,nom,College,6
user,25,verbe 1er groupe,verbe,College,6
vain,25,adjectif qualificatif,adjectif,College,6
ver,25,nom masculin,nom,College,6
verdoyant,25,adjectif qualificatif,adjectif,College,6
vers,25,preposition,autres,College,6
voix,25,nom feminin,nom,College,6
vulgaire,25,adjectif qualificatif,adjectif,College,6
poison,26,nom masculin,nom,College,6
acheminer,26,verbe 1er groupe,verbe,College,6
administrer,26,verbe 1er groupe,verbe,College,6
affectionner,26,verbe 1er groupe,verbe,College,6
balançoire,26,nom feminin,nom,College,6
aisé,26,adjectif qualificatif,adjectif,College,6
manette,26,nom feminin,nom,College,6
tablette,26,nom feminin,nom,College,6
annoncer,26,verbe 1er groupe,verbe,College,6
apercevoir,26,verbe 3eme groupe,verbe,College,6
appeler,26,verbe 1er groupe,verbe,College,6
arranger,26,verbe 1er groupe,verbe,College,6
arrêter,26,verbe 1er groupe,verbe,College,6
atteler,26,verbe 1er groupe,verbe,College,6
au-dessus,26,preposition,autres,College,6
avantageux,26,adjectif qualificatif,adjectif,College,6
bouchon,26,nom masculin,nom,College,6
bambin,26,nom masculin,nom,College,6
béret,26,nom masculin,nom,College,6
bracelet,26,nom masculin,nom,College,6
bien-aimé,26,adjectif qualificatif,adjectif,College,6
blesser,26,verbe 1er groupe,verbe,College,6
bouleverser,26,verbe 1er groupe,verbe,College,6
bûcheron,26,nom masculin,nom,College,6
crayon,26,nom masculin,nom,College,6
caresser,26,verbe 1er groupe,verbe,College,6
papier,26,nom masculin,nom,College,6
célébrer,26,verbe 1er groupe,verbe,College,6
certainement,26,adverbe,autres,College,6
combattant,26,nom masculin,nom,College,6
panier,26,nom masculin,nom,College,6
commode,26,nom feminin,nom,College,6
communiquer,26,verbe 1er groupe,verbe,College,6
condamner,26,verbe 1er groupe,verbe,College,6
cueillir,26,verbe 3eme groupe,verbe,College,6
débattre,26,verbe 3eme groupe,verbe,College,6
moulin,26,nom masculin,nom,College,6
karaté,26,nom masculin,nom,College,6
dépouiller,26,verbe 1er groupe,verbe,College,6
descente,26,nom feminin,nom,College,6
montagne,26,nom feminin,nom,College,6
désormais,26,adverbe,autres,College,6
difficilement,26,adverbe,autres,College,6
dissiper,26,verbe 1er groupe,verbe,College,6
anorak,26,nom masculin,nom,College,6
écorce,26,nom feminin,nom,College,6
effroyable,26,adjectif qualificatif,adjectif,College,6
embaumer,26,verbe 1er groupe,verbe,College,6
ennui,26,nom masculin,nom,College,6
